00023935,AMAZING GRACE ACADEMY,2,17,PO BOX 3229,PALMER,00170,170,AK,02,99645,9077452691,180,8.16,Yes,,6,9,7,10,7,9,10,10,10,11,12,8,2,4,115,109,6,24,9,7,59,2,2,8,32,1,1,3,2,3,5.5,22.01,8.25,6.42,54.12,1.83,1.83,13.62,28,MATANUSKA-SUSITNA,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,
02001352,ANCHOR LUTHERAN SCHOOL,2,13,8100 ARCTIC BLVD,ANCHORAGE,00020,020,AK,02,99518,9075223636,180,6.5,Yes,,80,12,11,13,7,15,8,9,10,8,,,,,173,93,2,5,7,2,64,1,12,10.6,11,1,1,1,2,1,2.15,5.37,7.52,2.15,68.81,1.07,12.9,8.77,20,ANCHORAGE,School does not belong to ANY associations or organizations,,,,,,,
00023866,ANCHORAGE CHRISTIAN SCHOOLS,2,17,6575 E NORTHERN LIGHTS BLVD,ANCHORAGE,00020,020,AK,02,99504,9073379575,182,5.75,Yes,,130,19,28,32,27,27,30,23,30,30,30,34,30,29,499,369,,,,,,,,58.5,11,1,1,3,2,1,,,,,,,,6.3,5,ANCHORAGE,Association of Christian Schools International (ACSI),,,,,,,
00023924,ANCHORAGE JUNIOR ACADEMY,2,13,5511 OMALLEY RD,ANCHORAGE,00020,020,AK,02,99507,9073462164,180,7.25,Yes,,5,5,5,3,4,1,1,2,5,2,,,,,33,28,2,4,3,2,10,0,7,4.9,11,1,1,1,2,1,7.14,14.28,10.71,7.14,35.71,0,25,5.71,28,ANCHORAGE,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,
K9300004,ANCHORAGE MONTESSORI SCHOOL,2,11,5001 NORTHWOOD DR,ANCHORAGE,00020,020,AK,02,99517,9072762240,226,6.5,No,,126,23,8,3,5,7,2,3,,,,,,,177,51,1,1,0,0,45,1,3,9,11,1,2,1,3,1,1.96,1.96,0,0,88.23,1.96,5.88,5.66,30,ANCHORAGE,American Montessori Society (AMS),Association Montessori International (AMI),,,,,,
A9700054,ANCHORAGE WALDORF SCHOOL,2,13,3250 BAXTER RD,ANCHORAGE,00020,020,AK,02,99504,9073339062,168,7.25,Yes,,12,14,9,12,6,8,8,7,2,8,,,,,86,74,0,3,1,0,59,0,11,14.1,11,1,1,1,3,1,0,4.05,1.35,0,79.72,0,14.86,5.24,30,ANCHORAGE,Association of Waldorf Schools of North America (AWSNA),,,,,,,
A1500040,AURORA TUTORING SCHOOL & RESOURCE CENTER,2,17,201 OLD STEESE HWY # 6,FAIRBANKS,00090,090,AK,02,99701,9073748852,180,6,No,,2,2,,4,1,2,4,,4,4,3,3,1,3,33,31,8,2,0,2,19,0,0,4,13,1,1,3,2,1,25.8,6.45,0,6.45,61.29,0,0,7.75,8,FAIRBANKS NORTH STAR,School does not belong to ANY associations or organizations,,,,,,,
A0900093,BIRCHWOOD CHRISTIAN SCHOOL,2,17,22208 BIRCHWOOD LOOP RD,CHUGIAK,00020,020,AK,02,99567,9076882228,170,6.5,No,,21,17,12,12,7,11,10,17,12,12,18,7,12,16,184,163,11,2,7,1,131,4,7,11.3,31,1,1,3,2,3,6.74,1.22,4.29,0.61,80.36,2.45,4.29,14.42,8,ANCHORAGE,Association of Christian Schools International (ACSI),,,,,,,
A0700033,BRISTOL BAY CHRISTIAN LEARNING CENTER,6,8,PO BOX 257,KING SALMON,00060,060,AK,02,99613,9072467323,178,6.75,Yes,,,,2,1,1,,,,,,,,,,4,4,2,0,0,0,0,0,2,2,43,1,1,1,2,4,50,0,0,0,0,0,50,2,8,BRISTOL BAY,Accelerated Christian Education (ACE),,,,,,,
00023629,CATHOLIC SCHOOLS OF FAIRBANKS,2,17,615 MONROE ST,FAIRBANKS,00090,090,AK,02,99701,9074567970,172,6.5,Yes,,20,39,39,24,32,32,24,24,39,24,39,28,35,21,420,400,33,20,22,13,282,1,29,35.1,13,1,1,3,1,1,8.25,5,5.5,3.25,70.5,0.25,7.25,11.39,1,FAIRBANKS NORTH STAR,National Catholic Educational Association (NCEA),,,,,,,
